,Class balance,Train size,Model,Implementation,Threshold,Run,AUROC,AUCPR
205,0.2,6400,4,user-defined,2,1,0.79397,0.8158
206,0.2,6400,4,user-defined,3,1,0.79498,0.81556
207,0.2,6400,4,sklearn,-,1,0.79508,0.81582
208,0.2,12800,1,user-defined,1,1,0.79401,0.82009
209,0.2,12800,1,user-defined,2,1,0.79689,0.81935
210,0.2,12800,1,user-defined,3,1,0.79702,0.81874
211,0.2,12800,1,sklearn,-,1,0.79701,0.81837
212,0.2,12800,2,user-defined,1,1,0.6284,0.66185
213,0.2,12800,2,user-defined,2,1,0.6284,0.66185
214,0.2,12800,2,user-defined,3,1,0.6284,0.66185
215,0.2,12800,2,sklearn,-,1,0.62839,0.75601
216,0.2,12800,3,user-defined,1,1,0.6341,0.66125
217,0.2,12800,3,user-defined,2,1,0.6341,0.66125
218,0.2,12800,3,user-defined,3,1,0.6341,0.66125
219,0.2,12800,3,sklearn,-,1,0.63412,0.75817
220,0.2,12800,4,user-defined,1,1,0.79361,0.81976
221,0.2,12800,4,user-defined,2,1,0.7961,0.8192
222,0.2,12800,4,user-defined,3,1,0.7972,0.81989
223,0.2,12800,4,sklearn,-,1,0.79723,0.81943
224,0.3,200,1,user-defined,1,1,0.79344,0.83072
225,0.3,200,1,user-defined,2,1,0.79643,0.83126
226,0.3,200,1,user-defined,3,1,0.79752,0.83044
227,0.3,200,1,sklearn,-,1,0.79768,0.83062
228,0.3,200,2,user-defined,1,1,0.6373,0.70395
229,0.3,200,2,user-defined,2,1,0.6373,0.70395
230,0.3,200,2,user-defined,3,1,0.6373,0.70395
231,0.3,200,2,sklearn,-,1,0.63733,0.77995
232,0.3,200,3,user-defined,1,1,0.63005,0.6983
233,0.3,200,3,user-defined,2,1,0.63005,0.6983
234,0.3,200,3,user-defined,3,1,0.63005,0.6983
235,0.3,200,3,sklearn,-,1,0.63007,0.7758
236,0.3,200,4,user-defined,1,1,0.77143,0.80957
237,0.3,200,4,user-defined,2,1,0.77549,0.80886
238,0.3,200,4,user-defined,3,1,0.77805,0.80706
239,0.3,200,4,sklearn,-,1,0.77848,0.80391
240,0.3,400,1,user-defined,1,1,0.78577,0.82173
241,0.3,400,1,user-defined,2,1,0.78936,0.82133
242,0.3,400,1,user-defined,3,1,0.79048,0.82086
243,0.3,400,1,sklearn,-,1,0.79049,0.82065
244,0.3,400,2,user-defined,1,1,0.63765,0.71315
245,0.3,400,2,user-defined,2,1,0.63765,0.71315
246,0.3,400,2,user-defined,3,1,0.63765,0.71315
247,0.3,400,2,sklearn,-,1,0.63767,0.78296
248,0.3,400,3,user-defined,1,1,0.6352,0.69745
249,0.3,400,3,user-defined,2,1,0.6352,0.69745
250,0.3,400,3,user-defined,3,1,0.6352,0.69745
251,0.3,400,3,sklearn,-,1,0.63522,0.77724
252,0.3,400,4,user-defined,1,1,0.77347,0.80658
253,0.3,400,4,user-defined,2,1,0.77712,0.80935
254,0.3,400,4,user-defined,3,1,0.77779,0.8096
255,0.3,400,4,sklearn,-,1,0.77774,0.80895
256,0.3,800,1,user-defined,1,1,0.79402,0.82798
257,0.3,800,1,user-defined,2,1,0.79636,0.82981
258,0.3,800,1,user-defined,3,1,0.79684,0.82767
259,0.3,800,1,sklearn,-,1,0.79691,0.82771
260,0.3,800,2,user-defined,1,1,0.6215,0.67545
261,0.3,800,2,user-defined,2,1,0.6215,0.67545
262,0.3,800,2,user-defined,3,1,0.6215,0.67545
263,0.3,800,2,sklearn,-,1,0.62152,0.76577
264,0.3,800,3,user-defined,1,1,0.6391,0.69045
265,0.3,800,3,user-defined,2,1,0.6391,0.69045
266,0.3,800,3,user-defined,3,1,0.6391,0.69045
267,0.3,800,3,sklearn,-,1,0.63908,0.77652
268,0.3,800,4,user-defined,1,1,0.79388,0.82534
269,0.3,800,4,user-defined,2,1,0.79558,0.82561
270,0.3,800,4,user-defined,3,1,0.79621,0.82756
271,0.3,800,4,sklearn,-,1,0.79615,0.82733
272,0.3,1600,1,user-defined,1,1,0.7948,0.82991
273,0.3,1600,1,user-defined,2,1,0.79694,0.82887
274,0.3,1600,1,user-defined,3,1,0.79792,0.82938
275,0.3,1600,1,sklearn,-,1,0.79803,0.82948
276,0.3,1600,2,user-defined,1,1,0.62635,0.67125
277,0.3,1600,2,user-defined,2,1,0.62635,0.67125
278,0.3,1600,2,user-defined,3,1,0.62635,0.67125
279,0.3,1600,2,sklearn,-,1,0.62636,0.76626
280,0.3,1600,3,user-defined,1,1,0.6254,0.6763
281,0.3,1600,3,user-defined,2,1,0.6254,0.6763
282,0.3,1600,3,user-defined,3,1,0.6254,0.6763
283,0.3,1600,3,sklearn,-,1,0.62541,0.7674
284,0.3,1600,4,user-defined,1,1,0.79432,0.82942
285,0.3,1600,4,user-defined,2,1,0.79703,0.8287
286,0.3,1600,4,user-defined,3,1,0.7978,0.82913
287,0.3,1600,4,sklearn,-,1,0.79792,0.82919
288,0.3,3200,1,user-defined,1,1,0.7945,0.83123
289,0.3,3200,1,user-defined,2,1,0.79702,0.82995
290,0.3,3200,1,user-defined,3,1,0.79808,0.82999
291,0.3,3200,1,sklearn,-,1,0.79824,0.83012
292,0.3,3200,2,user-defined,1,1,0.62285,0.67015
293,0.3,3200,2,user-defined,2,1,0.62285,0.67015
294,0.3,3200,2,user-defined,3,1,0.62285,0.67015
